Title;Year;Classification;Duration;Genre;Directors;Writers;Cast;TechCrew
Antecâmara;2018;N/C;52 min;['Documentário'];['Jorge Cramez'];[];[];{'Assistente de Montagem': [['José Rito']], 'Assistente de Som': [['Rodolfo Cardoso']], 'Colorista': [['Andreia Bertini']], 'Desenho de Som': [['Miguel Martins']], 'Direcção de Produção': [['Sofia de Sousa']], 'Montagem': [['Tomás Baltazar']], 'Pós-Produção': [['Walla Collective']], 'Produção': [['C.R.I.M.']], 'Produtora': [['Isabel Machado', 'Joana Ferreira']]}
Actos de Cinema;2018;N/C;116 min;['Documentário'];['Jorge Cramez'];[];[];{'Apoio Financeiro': [['Fundação Kalouste Gulbenkian', 'ICA - Instituto do Cinema e do Audiovisual']], 'Fotografia': [['Jorge Cramez']], 'Guião': [['Jorge Cramez']], 'Montagem': [['Tomás Baltazar']], 'Produção': [['C.R.I.M.']], 'Produtora': [['Joana Ferreira', 'Isabel Machado']]}
A Era das Ovelhas;2018;N/C;5m 38s;['Animação'];['Sara Augusto', 'Eva Mendes', 'Joana de Rosa'];['Eva Mendes'];[];{'Animação': [['Sara Augusto']], 'Cenografia': [['Creatura']], 'Fotografia': [['Joana de Rosa']], 'Ilustrações': [['Eva Mendes']], 'Montagem': [['Ana Almeida', 'Sara Augusto']], 'Música': [['Eliana Veríssimo']], 'Narração': [['Jorge Mota']], 'Produção': [['Anexo 82', 'Creatura']], 'Produção Executiva': [['José Pedro Lopes']], 'Som': [['Pedro Marques', 'Pedro Pimentel']]}
Magister;2018;N/C;20 min;['Curta-metragem'];['Gustavo dos Santos'];[];[];{'Produção Executiva': [['Júlio Filipe Cardoso']]}
No Porto de Leixões - Panorama;2018;N/C;27 min;['Documentário'];['Renata Sancho'];[];[];{'Apoio Financeiro': [['Fundação Calouste Gulbenkian']], 'Direcção de Fotografia': [['Mário Castanheira']], 'Engenheiro de Som': [['Ricardo Leal']], 'Montagem': [['Renata Sancho']], 'Montagem de Som': [['Miguel Martins']], 'Produção': [['Cedro Plátano']], 'Registo de Som': [['Pedro Augusto']]}
A Portuguesa;2018;M/12;136 min;['Drama', 'História'];['Rita Azevedo Gomes'];['Rita Azevedo Gomes'];['Adelaide Teixeira', 'Alexandre Alves Costa', 'Clara Riedenstein', 'Fernando Rodrigues', 'Ingrid Caven', 'João Vicente', 'Leonardo Mouramateus', 'Luna Picoli-Truffaut', 'Manuela de Freitas', 'Marcello Urgeghe', 'Nuno Rodrigues', 'Patrícia Saramago', 'Pierre Léon', 'Rita Durão'];{'Apoio Financeiro': [['RTP', 'ICA - Instituto do Cinema e do Audiovisual']], 'Assistente de Câmara': [['Inês Gonçalo']], 'Autor da Obra Original': [['Robert Musil']], 'Co-Produção': [['DuplaCena']], 'Colorista': [['Andreia Bertini']], 'Criação Gráfica': [['Ana Sofia Nunes']], 'Diálogos': [['Rita Azevedo Gomes', 'Agustina Bessa-Luís']], 'Direcção de Fotografia': [['Acácio de Almeida']], 'Direcção de Som': [['Olivier Blanc']], 'Figurinos': [['Tânia Franco', 'Rute Correia']], 'Mistura de Som': [['Tiago Matos']], 'Montagem': [['Patrícia Saramago', 'Rita Azevedo Gomes']], 'Montagem de Som': [['António Porém Pires']], 'Música': [['José Mário Branco']], 'Produção': [['Basilisco Filmes']], 'Produtor': [['António Câmara Manuel', 'Rita Azevedo Gomes']]}
Snu;2019;M/12;93m 51s;['Romance'];['Patrícia Sequeira'];['Claudia Clemente', 'Patrícia Sequeira'];['Ana Nave', 'André Carvalho', 'Beatriz Leonardo', 'Inês Castel-Branco', 'Ivo Alexandre', 'Joana Brandão', 'João Reis', 'Lourenço Conde', 'Maria João Pinho', 'Nádia Santos', 'Patrícia Tavares', 'Paulo Calatré', 'Pedro Almendra', 'Pedro Saavedra', 'Simon Frankel', 'Vera Pimentel'];{'Assistente de Câmara': [['Ricardo Lameiras', 'Ricardo Simoes']], 'Assistente de Montagem': [['Ana Costa']], 'Assistente de Realização': [['Luís Sérgio', 'Renata Sequeira']], 'Colorista': [['Jennifer Mendes']], 'Desenho de Luz': [['Rodrigo Dray']], 'Direcção de Fotografia': [['João Ribeiro']], 'Direcção de Produção': [['Cândida Vieira']], 'Fotografia de Cena': [['Armanda Claro']], 'Iluminação': [['Ivo Mendes']], 'Maquilhagem': [['Ana Lorena']], 'Montagem': [['Pedro Ribeiro']], 'Montagem de Som': [['Elsa Ferreira']], 'Música': [['Surma']], 'Pós-Produção': [['Mónica Bárcia']], 'Produção': [['Santa Rita Filmes', 'Sky Dreams Entertainment']], 'Produtor': [['José Francisco Gandarez']], 'Sonoplastia/Mistura': [['Branko Neskov']]}
Pedro e Inês;2018;M/12;120 min;['Drama'];['António Ferreira'];['António Ferreira', 'Rosa Lobato Faria'];['Berta Susana Teixeira', 'Cristovão Campos', 'Custódia Gallego', 'Diogo Amaral', 'Joana de Verona', 'João Lagarto', 'Miguel Borges', 'Miguel Monteiro', 'Nuno Nolasco', 'Vera Kolodzig'];{'Caracterização': [['Silvia Grabowski']], 'Casting': [['Patrícia Vasconcelos']], 'Desenho de Produção': [['Luísa Bebiano']], 'Direcção de Arte': [['Luísa Bebiano']], 'Direcção de Fotografia': [['Paulo Castilho']], 'Direcção Musical': [['Luís Pedro Madeira']], 'Figurinos': [['Silvia Grabowski']], 'Montagem': [['António Ferreira']], 'Produção': [['Persona Non Grata Pictures']], 'Som': [['Olivier Blanc']]}
Pele de Luz;2018;N/C;19 min;['Curta-metragem'];['André Guiomar'];[];['Anifa Langa', 'Dulce Langa', 'Isaura Langa'];{'Montagem': [['Miguel da Santa']], 'Produção': [['Real Ficção', 'Promarte']], 'Produtor': [['Sol de Carvalho']]}
O Quadro;2018;N/C;;['Curta-metragem', 'Terror'];['Paulo Araújo'];['Paulo Araújo'];['Isabel Feliciano', 'Jorge Rodrigues'];{'Caracterização': [['Isabel Feliciano']], 'Direcção de Arte': [['Paulo Araújo']], 'Direcção de Fotografia': [['Paulo Araújo']], 'Direcção de Som': [['Paulo Araújo']], 'Figurinos': [['Isabel Feliciano']], 'Montagem': [['Paulo Araújo']], 'Música': [['Paulo Araújo']], 'Produção': [['Paulo Araújo']], 'Produtor': [['Paulo Araújo']]}
